Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Design and Analysis of a DC -DC Buck Boost Converter to Achieve High Efficiency and Low Voltage Gain by using Buck Boost Topology into Buck Topology,10.1109/ICAEEE.2018.8643001,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8643001,1
1,1,Design and Comparative Study of DC-DC Quadratic Buck-Boost Converter and Cascaded Buck-Boost Converter,10.1109/RTEICT52294.2021.9573716,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9573716,1
1,2,A non-isolated 650W DC-DC converter using a novel buck-boost topology with two low-side MOSFETs,10.1109/SPEC52827.2021.9709469,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9709469,1
1,3,Theoretical and Experimental Study of Interleaved Non-Inverting Buck-Boost Converter for RES,10.1109/HiTech.2018.8566632,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8566632,1
1,4,Design and PSpice simulation of synchronous bidirectional PWM DC-DC buck-boost converter operating in CCM,10.1109/INDCON.2013.6725989,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6725989,1
1,5,Microcontroller based DC-DC Cascode Buck-Boost Converter,10.1109/AEEICB.2017.7972318,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7972318,1
1,6,"Generalized State Space Average Model for Multi-Phase Interleaved Buck, Boost and Buck-Boost DC-DC Converters: Transient, Steady-State and Switching Dynamics",10.1109/ACCESS.2020.2987277,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9063477,1
1,7,A Comparative study of Phase shifted Full Bridge and High-Frequency Resonant Transistor DC-DC Converters for EV Charging Application,10.1109/ICMNWC56175.2022.10031773,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10031773,1
1,8,A Buck-Boost topology based hybrid converter for standalone nanogrid applications,10.1109/ICDCM.2017.8001093,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8001093,1
1,9,Comparative Study on Buck and Buck-Boost DC-DC Converters for MPP Tracking for Photovoltaic Power Systems,10.1109/CICT.2016.81,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7546635,1
1,10,Experimental analysis of conventional buck and boost converter with integrated dual output converter,10.1109/ICEECCOT.2017.8284521,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8284521,1
1,11,A 2-MHz 60-W Zero-Voltage-Switching Synchronous Noninverting Buck–Boost Converter With Reduced Component Values,10.1109/TCSII.2015.2415279,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7063945,1
1,12,A DC-DC buck-boost converter based on the three-state switching cell,10.1109/COBEP.2017.8257239,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8257239,1
1,13,Operation and Comparison of a Novel Modular Asymmetric Buck-Boost DC-DC Converter for High-Power Applications,10.1109/APEC43580.2023.10131379,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10131379,1
1,14,Lie-Algebraic Controllability Analysis of DC-DC Buck-Boost Converter,10.1109/ICISGT44072.2019.00037,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8998125,1
1,15,Analysis of Bi-directional DC-DC Buck-Boost Quadratic Converter for Energy Storage Devices,10.1109/ICCES45898.2019.9002112,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9002112,1
1,16,A coupled inductor buck-boost DC-DC converter with wide voltage conversion range,10.1109/ICCPCT.2014.7054817,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7054817,1
1,17,Interleaved Bidirectional Buck-Boost DC-DC Converter Based on Multi-mode Control,10.1109/ICGEA54406.2022.9791947,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9791947,1
1,18,DC-DC converter modeling and simulation using state space approach,10.1109/CENCON.2015.7409511,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7409511,1
1,19,A new single switch Buck-Boost type dc-dc converter,10.1109/ISIEA.2009.5356336,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5356336,1
1,20,The comparison of different types of DC-DC converters in terms of low-voltage implementation,10.1109/AIEEE.2017.8270560,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8270560,1
1,21,"Analysis, Design and Simulation of Non-Inverting Buck-Boost DC-DC Converter for Battery Charging",10.1109/CENTCON52345.2021.9688165,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9688165,1
1,22,A novel single-switch cascaded DC-DC converter of Boost and Buck-boost converters,10.1109/EPE.2014.6910723,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6910723,1
1,23,A New Non-Isolated Buck-Boost Converter with High Voltage Gain and Positive Output Voltage for Renewable Energy Applications,10.1109/PEDSTC.2019.8697734,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8697734,1
1,24,Theoretical study on performance constraints of a DC-DC buck-boost converter,10.1109/EPETSG.2015.7510119,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7510119,1
1,25,Modified Switched-Inductor Based DC-DC Buck-Boost Converter for Low-Power Applications,10.1109/IECON48115.2021.9589190,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9589190,1
1,26,Passivity Based Control of Four-Switch Buck-Boost DC-DC Converter without Operation Mode Detection,10.1109/IECON49645.2022.9968779,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9968779,1
1,27,Bidirectional Buck-Boost Quadratic Converter Using Fuzzy Controller for Distributed Generation Systems,10.1109/ICCTCT.2018.8551025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8551025,1
1,28,Analysis and simulation of a buck-boost operation in a bidirectional ZVS DC-DC converter,10.1109/ESARS-ITEC.2016.7841431,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7841431,1
1,29,Full-Range Soft-Switching-Isolated Buck-Boost Converters With Integrated Interleaved Boost Converter and Phase-Shifted Control,10.1109/TPEL.2015.2425956,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7094281,1
1,30,Two Stage single-phase EV On-Board Charger Based On Interleaved Cascaded Non-Inverting Buck-Boost Converter,10.1109/CPERE56564.2023.10119584,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10119584,1
1,31,A Novel Buck-Boost Type DC-DC Converter Topology for Electric Vehicle Applications,10.1109/ECCE47101.2021.9595048,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9595048,1
